date,leg,regime,gex,entry_spx,k_call_short,k_put_short,credit_pts,exit,pnl_pts,pnl_usd,r_multiple
20240109,H1_pin,long_gamma,25095292332.495705,4742.54,4760.0,4720.0,2.55,stop,-2.8,-288.0,-0.11199999999999999
20240111,H1_pin,long_gamma,30607921215.73266,4767.2,4795.0,4735.0,3.0500000000000007,settle,3.0500000000000007,301.00000000000006,0.12200000000000003
20240116,H1_pin,long_gamma,25457579113.05504,4781.33,4800.0,4755.0,2.7,stop,1.2799999999999274,119.99999999999274,0.051199999999997095
20240126,H1_pin,long_gamma,41945888357.06397,4893.91,4915.0,4875.0,3.25,settle,3.25,321.0,0.13
20240130,H1_pin,long_gamma,41752294253.427444,4922.93,4940.0,4900.0,2.85,settle,2.85,281.0,0.114
20240131,H1_pin,long_gamma,46710423595.17731,4887.22,4930.0,4850.0,3.8000000000000007,stop,3.5200000000002554,344.0000000000255,0.14080000000001022
20240206,H1_pin,long_gamma,11497305324.101875,4946.06,4965.0,4915.0,2.8,settle,2.8,276.0,0.11199999999999999
20240208,H1_pin,long_gamma,108727395845.06633,4990.81,5015.0,4970.0,2.2499999999999996,settle,2.2499999999999996,220.99999999999994,0.08999999999999998
20240216,H1_pin,long_gamma,245127503992.5255,5008.23,5040.0,4980.0,3.1999999999999997,settle,3.1999999999999997,316.0,0.128
20240228,H1_pin,long_gamma,22104235227.91301,5064.93,5085.0,5045.0,2.25,settle,2.25,221.0,0.09
20240313,H1_pin,long_gamma,37178817323.23249,5171.27,5190.0,5145.0,2.65,settle,2.65,261.0,0.106
20240314,H1_pin,long_gamma,28483597401.238033,5156.31,5180.0,5125.0,3.5999999999999996,stop,3.5999999999999996,351.99999999999994,0.144
20240319,H1_pin,long_gamma,21451533046.26313,5135.67,5155.0,5110.0,3.15,stop,-3.4499999999999997,-353.0,-0.13799999999999998
20240322,H1_pin,long_gamma,43386966066.51022,5236.28,5255.0,5215.0,2.4999999999999996,settle,2.4999999999999996,245.99999999999994,0.09999999999999998
20240328,H1_pin,long_gamma,30482389894.005745,5248.99,5270.0,5230.0,2.4499999999999997,settle,2.4499999999999997,240.99999999999997,0.09799999999999999
20240430,H1_pin,long_gamma,14291934183.091368,5094.42,5120.0,5070.0,2.6,stop,-2.4,-248.0,-0.096
20240508,H1_pin,long_gamma,43078379022.44858,5184.45,5205.0,5160.0,2.2,settle,2.2,216.00000000000003,0.08800000000000001
20240521,H1_pin,long_gamma,15979728560.646559,5306.13,5325.0,5290.0,1.55,settle,1.55,151.0,0.062
20240522,H1_pin,long_gamma,23001409211.466812,5319.41,5335.0,5305.0,2.0,stop,-2.5999999999999996,-267.99999999999994,-0.10399999999999998
20240604,H1_pin,long_gamma,4611578919.226686,5275.15,5305.0,5245.0,2.9499999999999997,settle,2.9499999999999997,291.0,0.118
20240605,H1_pin,long_gamma,5418504134.190567,5312.59,5335.0,5280.0,3.25,stop,-3.4000000000000004,-348.00000000000006,-0.136
20240613,H1_pin,long_gamma,48356717183.63151,5419.78,5445.0,5390.0,3.3000000000000007,settle,3.3000000000000007,326.00000000000006,0.13200000000000003
20240614,H1_pin,long_gamma,31627042491.02086,5413.24,5440.0,5385.0,2.75,settle,2.75,271.0,0.11
20240626,H1_pin,long_gamma,15937240151.631428,5463.05,5485.0,5435.0,2.4499999999999993,settle,2.4499999999999993,240.99999999999994,0.09799999999999998
20240702,H1_pin,long_gamma,6470948989.907822,5474.84,5495.0,5450.0,2.95,stop,-1.8499999999999996,-192.99999999999997,-0.07399999999999998
20240711,H1_pin,long_gamma,99055407911.23796,5623.66,5645.0,5585.0,3.3499999999999988,stop,-4.300000000000002,-438.00000000000017,-0.17200000000000007
20240801,H1_pin,long_gamma,14252518871.034126,5509.55,5550.0,5465.0,4.299999999999999,stop,-2.8000000000000007,-288.00000000000006,-0.11200000000000003
20240816,H1_pin,long_gamma,38581609882.42581,5539.97,5570.0,5505.0,3.35,settle,3.35,331.0,0.134
20240828,H1_pin,long_gamma,18225190057.71401,5620.8,5640.0,5595.0,2.7499999999999996,stop,-3.2000000000000006,-328.00000000000006,-0.12800000000000003
20240903,H1_pin,long_gamma,64254722187.045006,5572.4,5605.0,5535.0,4.3500000000000005,stop,-0.4999999999999991,-57.999999999999915,-0.019999999999999966
20240911,H1_pin,long_gamma,12971779594.00211,5415.27,5465.0,5370.0,4.199999999999999,stop,-3.8000000000000007,-388.00000000000006,-0.15200000000000002
20240918,H1_pin,long_gamma,27666877099.983418,5631.08,5705.0,5550.0,5.399999999999999,settle,5.399999999999999,535.9999999999999,0.21599999999999994
20240919,H1_pin,long_gamma,17698052148.502,5720.01,5750.0,5675.0,3.6999999999999997,settle,3.6999999999999997,366.0,0.148
20240924,H1_pin,long_gamma,44166247575.63949,5702.07,5730.0,5675.0,3.0500000000000003,stop,-4.1,-417.99999999999994,-0.16399999999999998
20240925,H1_pin,long_gamma,51803373617.503426,5732.68,5755.0,5705.0,2.5,settle,2.5,246.0,0.1
20240926,H1_pin,long_gamma,28311266343.664246,5749.01,5770.0,5720.0,3.0999999999999996,settle,3.0999999999999996,305.99999999999994,0.12399999999999999
20241001,H1_pin,long_gamma,32283585325.203606,5695.23,5740.0,5650.0,4.000000000000001,settle,4.000000000000001,396.0000000000001,0.16000000000000003
20241010,H1_pin,long_gamma,76669466186.74474,5782.04,5810.0,5745.0,2.9,settle,2.9,286.0,0.11599999999999999
20241015,H1_pin,long_gamma,54262913960.17539,5847.6,5870.0,5820.0,3.1,stop,3.1,302.0,0.124
20241018,H1_pin,long_gamma,11035611492.420908,5848.47,5875.0,5825.0,2.55,settle,2.55,250.99999999999997,0.102
20241029,H1_pin,long_gamma,12483238998.827682,5820.77,5845.0,5795.0,2.7500000000000004,stop,2.7500000000000004,267.00000000000006,0.11000000000000001
