date,leg,regime,gex,entry_spx,k_call_short,k_put_short,credit_pts,exit,pnl_pts,pnl_usd,r_multiple
20240104,H1_pin,short_gamma,-45586347714.22974,4711.06,4735.0,4695.0,2.4499999999999997,stop,0.5100000000003999,43.00000000003999,0.020400000000015996
20240105,H1_pin,short_gamma,-22594729064.92182,4707.68,4735.0,4685.0,2.85,stop,2.030000000000291,195.0000000000291,0.08120000000001165
20240109,H1_pin,long_gamma,25095292332.495705,4742.54,4760.0,4720.0,2.55,stop,-2.8,-288.0,-0.11199999999999999
20240111,H1_pin,long_gamma,30607921215.73266,4767.2,4795.0,4735.0,3.0500000000000007,settle,3.0500000000000007,301.00000000000006,0.12200000000000003
20240116,H1_pin,long_gamma,25457579113.05504,4781.33,4800.0,4755.0,2.7,stop,1.2799999999999274,119.99999999999274,0.051199999999997095
20240118,H1_pin,short_gamma,-29097310181.091503,4757.96,4780.0,4735.0,2.7000000000000006,stop,2.7000000000000006,262.00000000000006,0.10800000000000003
20240126,H1_pin,long_gamma,41945888357.06397,4893.91,4915.0,4875.0,3.25,settle,3.25,321.0,0.13
20240130,H1_pin,long_gamma,41752294253.427444,4922.93,4940.0,4900.0,2.85,settle,2.85,281.0,0.114
20240131,H1_pin,long_gamma,46710423595.17731,4887.22,4930.0,4850.0,3.8000000000000007,stop,3.5200000000002554,344.0000000000255,0.14080000000001022
20240201,H1_pin,short_gamma,-37898628150.02641,4876.4,4900.0,4850.0,3.0999999999999996,stop,-0.7000000000000002,-78.00000000000001,-0.028000000000000008
20240206,H1_pin,long_gamma,11497305324.101875,4946.06,4965.0,4915.0,2.8,settle,2.8,276.0,0.11199999999999999
20240208,H1_pin,long_gamma,108727395845.06633,4990.81,5015.0,4970.0,2.2499999999999996,settle,2.2499999999999996,220.99999999999994,0.08999999999999998
20240214,H1_pin,short_gamma,-20196033338.42025,4988.92,5010.0,4965.0,2.6999999999999997,stop,-2.6999999999999997,-278.0,-0.10799999999999998
20240216,H1_pin,long_gamma,245127503992.5255,5008.23,5040.0,4980.0,3.1999999999999997,settle,3.1999999999999997,316.0,0.128
20240228,H1_pin,long_gamma,22104235227.91301,5064.93,5085.0,5045.0,2.25,settle,2.25,221.0,0.09
20240306,H1_pin,short_gamma,-22615442191.40974,5096.65,5130.0,5070.0,3.1499999999999995,settle,3.1499999999999995,310.99999999999994,0.12599999999999997
20240313,H1_pin,long_gamma,37178817323.23249,5171.27,5190.0,5145.0,2.65,settle,2.65,261.0,0.106
