date,leg,regime,gex,direction,strike,entry_cost_pts,exit,pnl_pts,pnl_usd,r_multiple
20240111,H2_trend,long_gamma,30607921215.73266,down,4730.0,5.2,prem_stop,-2.75,-277.0,-0.5288461538461539
20240118,H2_trend,short_gamma,-29097310181.091503,up,4770.0,4.0,prem_stop,-2.3,-231.99999999999997,-0.575
20240131,H2_trend,long_gamma,46710423595.17731,down,4850.0,4.2,prem_stop,-2.5,-252.0,-0.5952380952380952
20240201,H2_trend,short_gamma,-37898628150.02641,up,4885.0,4.2,prem_stop,-2.1,-212.0,-0.5
20240213,H2_trend,long_gamma,20426357259.88753,up,4975.0,5.1,prem_stop,-2.55,-257.0,-0.5
20240229,H2_trend,long_gamma,9437236295.156492,down,5015.0,0.35,target,0.0,-2.0,0.0
20240305,H2_trend,long_gamma,27788829927.00485,down,5085.0,3.7,target,1.0999999999999996,107.99999999999997,0.2972972972972972
20240306,H2_trend,short_gamma,-22615442191.40974,up,5125.0,4.4,prem_stop,-2.3000000000000003,-232.00000000000003,-0.5227272727272727
20240308,H2_trend,long_gamma,32772310160.338337,down,5125.0,5.4,prem_stop,-2.95,-297.0,-0.5462962962962963
20240312,H2_trend,long_gamma,1603512519.329441,up,5155.0,5.5,target,1.5999999999999996,157.99999999999997,0.29090909090909084
20240314,H2_trend,long_gamma,28483597401.238033,up,5165.0,5.7,prem_stop,-2.9000000000000004,-292.00000000000006,-0.5087719298245614
20240326,H2_trend,long_gamma,7725416820.402023,down,5220.0,2.7,prem_stop,-1.4000000000000001,-142.0,-0.5185185185185185
20240327,H2_trend,short_gamma,-5488844543.079335,up,5230.0,3.5,prem_stop,-2.0,-202.0,-0.5714285714285714
20240430,H2_trend,long_gamma,14291934183.091368,down,5085.0,3.2,time_stop,19.0,1898.0,5.9375
20240501,H2_trend,short_gamma,-35111102381.78711,up,5100.0,6.2,prem_stop,-3.1,-312.0,-0.5
20240503,H2_trend,short_gamma,-4925381259.36879,down,5090.0,7.0,prem_stop,-3.5,-352.0,-0.5
20240522,H2_trend,long_gamma,23001409211.466812,down,5300.0,4.3,time_stop,0.5,48.0,0.11627906976744186
20240523,H2_trend,short_gamma,-17009842571.814798,down,5290.0,5.3,target,0.7000000000000002,68.00000000000001,0.13207547169811323
20240524,H2_trend,short_gamma,-34998074778.5837,up,5310.0,3.0,target,0.20000000000000018,18.000000000000018,0.06666666666666672
20240604,H2_trend,long_gamma,4611578919.226686,down,5250.0,5.6,prem_stop,-2.8,-282.0,-0.5
20240625,H2_trend,short_gamma,-3654686691.792591,up,5465.0,5.4,target,-0.40000000000000036,-42.000000000000036,-0.07407407407407414
20240626,H2_trend,long_gamma,15937240151.631428,down,5445.0,3.7,prem_stop,-2.0,-202.0,-0.5405405405405405
20240628,H2_trend,long_gamma,16019296645.969362,down,5455.0,1.2,time_stop,3.5999999999999996,357.99999999999994,3.0
20240702,H2_trend,long_gamma,6470948989.907822,up,5490.0,3.2,target,0.19999999999999973,17.99999999999997,0.06249999999999992
20240717,H2_trend,long_gamma,27894029266.295803,up,5630.0,5.5,prem_stop,-2.8,-282.0,-0.509090909090909
20240723,H2_trend,long_gamma,15091103840.842125,up,5590.0,4.8,target,1.0,98.0,0.20833333333333334
20240725,H2_trend,short_gamma,-56145208190.42339,up,5500.0,6.3,prem_stop,-3.65,-367.0,-0.5793650793650794
20240801,H2_trend,long_gamma,14252518871.034126,down,5505.0,6.7,time_stop,67.3,6728.0,10.044776119402984
20240809,H2_trend,short_gamma,-21432123470.266712,up,5365.0,7.6,target,1.9000000000000004,188.00000000000003,0.25000000000000006
20240828,H2_trend,long_gamma,18225190057.71401,down,5600.0,2.8,target,3.0,298.0,1.0714285714285714
20240829,H2_trend,long_gamma,3328967701.863839,down,5600.0,6.2,prem_stop,-3.3000000000000003,-332.0,-0.5322580645161291
20240911,H2_trend,long_gamma,12971779594.00211,up,5500.0,5.1,target,4.1,407.99999999999994,0.803921568627451
20241001,H2_trend,long_gamma,32283585325.203606,down,5675.0,11.3,prem_stop,-6.300000000000001,-632.0000000000001,-0.5575221238938053
20241002,H2_trend,short_gamma,-10575542114.76813,up,5725.0,5.9,prem_stop,-2.95,-297.0,-0.5
20241003,H2_trend,long_gamma,7722288710.4227085,up,5725.0,6.2,target,1.8999999999999995,187.99999999999994,0.3064516129032257
20241004,H2_trend,short_gamma,-45798405106.826324,down,5685.0,7.4,prem_stop,-3.7,-372.0,-0.5
20241022,H2_trend,long_gamma,7994085797.237469,up,5850.0,3.6,prem_stop,-1.8,-182.0,-0.5
20241025,H2_trend,long_gamma,2836894701.7412825,down,5825.0,3.9,target,-0.10000000000000009,-12.000000000000009,-0.025641025641025664
20241029,H2_trend,long_gamma,12483238998.827682,up,5835.0,4.2,target,1.2000000000000002,118.00000000000001,0.28571428571428575
20241030,H2_trend,long_gamma,11250796056.995266,down,5820.0,1.95,prem_stop,-1.0499999999999998,-106.99999999999999,-0.5384615384615384
20241113,H2_trend,long_gamma,10461801789.24848,down,5960.0,4.5,target,0.2999999999999998,27.999999999999982,0.06666666666666662
20241114,H2_trend,short_gamma,-5837585979.53462,down,5955.0,3.0,target,1.0,98.0,0.3333333333333333
20241119,H2_trend,short_gamma,-849483630.3898149,up,5915.0,2.7,target,0.6999999999999997,67.99999999999997,0.25925925925925913
20241121,H2_trend,short_gamma,-4423615240.574078,up,5945.0,5.5,time_stop,11.0,1098.0,2.0
20241122,H2_trend,long_gamma,43855338282.59993,down,5930.0,5.2,prem_stop,-2.6500000000000004,-267.00000000000006,-0.5096153846153847
20241211,H2_trend,short_gamma,-62228006224.781876,up,6085.0,3.8,time_stop,0.9000000000000004,88.00000000000003,0.236842105263158
20241212,H2_trend,long_gamma,58701457283.47618,up,6080.0,2.65,prem_stop,-1.3499999999999999,-137.0,-0.5094339622641509
20241218,H2_trend,short_gamma,-34076869306.881355,up,6085.0,5.3,prem_stop,-3.8,-382.0,-0.7169811320754716
20241227,H2_trend,long_gamma,60799820266.574356,down,5950.0,7.2,target,3.8999999999999995,387.99999999999994,0.5416666666666666
