date,leg,regime,gex,direction,of_ratio,strike,entry_cost_pts,exit,pnl_pts,pnl_usd,r_multiple
20250521,H3_stack,short_gamma,-1219321889.9068093,up,0.1683057038493959,5945.0,4.5,prem_stop,-2.3,-231.99999999999997,-0.5111111111111111
20250522,H3_stack,short_gamma,-29653125378.88073,up,0.21791801662205945,5870.0,5.6,prem_stop,-2.8999999999999995,-291.99999999999994,-0.5178571428571428
20250523,H3_stack,short_gamma,-24352129877.652718,up,0.15537941485021564,5830.0,6.7,prem_stop,-3.5,-352.0,-0.5223880597014925
20250527,H3_stack,short_gamma,-32123949932.733353,up,0.15154716981132074,5890.0,14.6,time_stop,10.500000000000002,1048.0000000000002,0.7191780821917809
20250606,H3_stack,short_gamma,-9809552180.100792,up,0.1677688827010094,6005.0,7.5,prem_stop,-4.4,-442.00000000000006,-0.5866666666666667
20250618,H3_stack,short_gamma,-63314497753.97732,up,0.1502868068833652,6020.0,7.7,prem_stop,-4.0,-402.0,-0.5194805194805194
20250709,H3_stack,short_gamma,-7582144347.306601,up,0.16036917251715704,6255.0,4.2,prem_stop,-2.1,-212.0,-0.5
20250730,H3_stack,short_gamma,-13106395417.948215,up,0.19923777260215964,6400.0,5.8,prem_stop,-2.9,-292.0,-0.5
20250731,H3_stack,short_gamma,-25242492441.159313,down,-0.15258698692111541,6350.0,3.9,target,1.8000000000000003,178.00000000000003,0.4615384615384616
20250821,H3_stack,short_gamma,-32487121213.812473,down,-0.16665770946418015,6360.0,5.8,target,1.4000000000000004,138.00000000000003,0.24137931034482765
20250822,H3_stack,short_gamma,-20289054081.47322,down,-0.1683997905289145,6450.0,4.2,prem_stop,-2.2,-222.00000000000003,-0.5238095238095238
20250826,H3_stack,short_gamma,-11787019914.804958,up,0.15655296229802512,6450.0,3.2,prem_stop,-1.6,-162.0,-0.5
20250902,H3_stack,short_gamma,-8319542770.809695,up,0.16408726459071415,6375.0,9.1,time_stop,18.799999999999997,1877.9999999999998,2.0659340659340657
20250903,H3_stack,short_gamma,-32642340930.41951,up,0.16156655333081477,6450.0,4.1,prem_stop,-2.05,-206.99999999999997,-0.5
20250918,H3_stack,short_gamma,-49488375977.66311,up,0.16402439024390245,6640.0,7.2,target,11.100000000000001,1108.0000000000002,1.5416666666666667
20250925,H3_stack,short_gamma,-24426722501.09815,up,0.16740499653437002,6620.0,6.6,prem_stop,-3.3999999999999995,-341.99999999999994,-0.5151515151515151
20250926,H3_stack,short_gamma,-38741498349.0645,down,-0.162745267028642,6605.0,4.6,target,9.3,928.0000000000001,2.0217391304347827
20251008,H3_stack,short_gamma,-6333704906.597103,down,-0.15731814198071867,6725.0,3.8,prem_stop,-2.25,-227.0,-0.5921052631578948
20251014,H3_stack,short_gamma,-15594819791.068197,up,0.19151096669374493,6685.0,5.0,target,1.0,98.0,0.2
20251015,H3_stack,short_gamma,-7031839150.185799,down,-0.18832161418526444,6660.0,1.4,time_stop,0.15000000000000013,13.000000000000014,0.10714285714285725
20251023,H3_stack,short_gamma,-56564981492.489975,up,0.16196517748684033,6735.0,6.7,prem_stop,-3.5,-352.0,-0.5223880597014925
20251104,H3_stack,short_gamma,-11814483067.332586,down,-0.15731948903613635,6770.0,5.9,target,0.0,-2.0,0.0
20251105,H3_stack,short_gamma,-25968391916.81736,up,0.15540375701390582,6805.0,8.8,time_stop,5.6,558.0,0.6363636363636362
20251106,H3_stack,short_gamma,-6848100785.751676,up,0.17484206614641398,6745.0,4.9,time_stop,0.5,48.0,0.1020408163265306
20251114,H3_stack,short_gamma,-32001011046.813686,down,-0.1542946996003407,6710.0,3.9,target,0.5000000000000004,48.00000000000004,0.12820512820512833
20251120,H3_stack,short_gamma,-22380074405.85961,down,-0.15363600884610382,6720.0,8.1,target,58.300000000000004,5828.0,7.197530864197532
20251210,H3_stack,short_gamma,-15582995031.77027,up,0.15864500306560392,6865.0,9.0,time_stop,19.1,1908.0000000000002,2.1222222222222222
20251216,H3_stack,short_gamma,-11129144082.045824,up,0.16629570747217806,6805.0,7.9,prem_stop,-4.2,-422.0,-0.5316455696202531
20251217,H3_stack,short_gamma,-22470307595.094078,down,-0.15099009900990099,6765.0,7.3,target,1.8999999999999995,187.99999999999994,0.26027397260273966
20251218,H3_stack,short_gamma,-39060056303.45834,down,-0.15392254220456802,6785.0,5.5,prem_stop,-2.8,-282.0,-0.509090909090909
20251231,H3_stack,short_gamma,-12417964141.352718,down,-0.1642607506457985,6860.0,3.7,target,0.0,-2.0,0.0
