date,leg,regime,gex,direction,of_ratio,strike,entry_cost_pts,exit,pnl_pts,pnl_usd,r_multiple
20250501,H3_stack,long_gamma,19286446907.7238,down,-0.157419697371914,5615.0,7.3,prem_stop,-3.9,-392.0,-0.5342465753424658
20250502,H3_stack,long_gamma,27652737956.654205,up,0.17332513829133375,5690.0,9.9,target,1.0,98.0,0.10101010101010101
20250506,H3_stack,long_gamma,11342852450.560587,up,0.15691964285714285,5625.0,8.2,prem_stop,-4.299999999999999,-431.9999999999999,-0.5243902439024389
20250508,H3_stack,long_gamma,2923954432.3184476,down,-0.16606660666066606,5605.0,8.2,prem_stop,-4.299999999999999,-431.9999999999999,-0.5243902439024389
20250509,H3_stack,long_gamma,15250469677.102745,down,-0.16843833722236626,5630.0,3.8,prem_stop,-1.9,-192.0,-0.5
20250513,H3_stack,long_gamma,25345785762.23533,down,-0.17059066501445683,5870.0,4.2,prem_stop,-2.1500000000000004,-217.00000000000003,-0.511904761904762
20250514,H3_stack,long_gamma,22753877972.685356,down,-0.15863882952490546,5870.0,7.3,prem_stop,-3.9,-392.0,-0.5342465753424658
20250515,H3_stack,long_gamma,16262105348.319754,down,-0.1617880644429317,5900.0,6.6,prem_stop,-3.3,-332.0,-0.5
20250516,H3_stack,long_gamma,15302179792.900982,up,0.1621525724423418,5955.0,4.3,time_stop,-0.6999999999999997,-71.99999999999997,-0.16279069767441856
20250521,H3_stack,short_gamma,-1219321889.9068093,up,0.1683057038493959,5945.0,4.5,prem_stop,-2.3,-231.99999999999997,-0.5111111111111111
20250522,H3_stack,short_gamma,-29653125378.88073,up,0.21791801662205945,5870.0,5.6,prem_stop,-2.8999999999999995,-291.99999999999994,-0.5178571428571428
20250523,H3_stack,short_gamma,-24352129877.652718,up,0.15537941485021564,5830.0,6.7,prem_stop,-3.5,-352.0,-0.5223880597014925
20250527,H3_stack,short_gamma,-32123949932.733353,up,0.15154716981132074,5890.0,14.6,time_stop,10.500000000000002,1048.0000000000002,0.7191780821917809
20250528,H3_stack,long_gamma,10140100130.638802,up,0.1935892028679882,5920.0,4.7,prem_stop,-2.6500000000000004,-267.00000000000006,-0.5638297872340426
20250529,H3_stack,long_gamma,819037868.4494905,up,0.15906114636848998,5930.0,4.6,target,-0.5999999999999996,-61.999999999999964,-0.1304347826086956
20250530,H3_stack,long_gamma,5102468631.182774,up,0.1608863198458574,5895.0,4.5,target,17.5,1748.0,3.888888888888889
20250603,H3_stack,long_gamma,10252288078.267252,up,0.15513188822146776,5975.0,5.4,target,0.39999999999999947,37.99999999999994,0.07407407407407397
20250604,H3_stack,long_gamma,36237864315.09227,up,0.18157642803957025,5985.0,2.15,target,-0.3999999999999999,-41.99999999999999,-0.18604651162790695
20250605,H3_stack,long_gamma,17905453469.432552,up,0.1558127483157713,6005.0,4.5,target,0.40000000000000036,38.000000000000036,0.08888888888888896
20250606,H3_stack,short_gamma,-9809552180.100792,up,0.1677688827010094,6005.0,7.5,prem_stop,-4.4,-442.00000000000006,-0.5866666666666667
